COUNTY,YEARS,STRATA,AGE GROUP,CURRENT PREVALENCE,95% CONFIDENCE INTERVAL,COUNTIES GROUPED,COMMENT,,,,,,,,
Plumas,2015–2016,Age groups,65+ years,8.7%,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Riverside,2015–2016,Age groups,65+ years,5.4%,(1.8–9.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Sacramento,2015–2016,Age groups,65+ years,8.0%,(2.9–13.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
San Benito,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate,,,,,,,,
San Bernardino,2015–2016,Age groups,65+ years,9.4%,(2.6–16.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
San Diego,2015–2016,Age groups,65+ years,7.0%,(4.1–9.9),,,,,,,,,,
San Francisco,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate,,,,,,,,
San Joaquin,2015–2016,Age groups,65+ years,9.9%,(0.9–19.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
San Luis Obispo,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate,,,,,,,,
San Mateo,2015–2016,Age groups,65+ years,13.1%,(0.9–25.2),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Santa Barbara,2015–2016,Age groups,65+ years,6.6%,(0.7–12.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Santa Clara,2015–2016,Age groups,65+ years,8.3%,(2.6–14.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Santa Cruz,2015–2016,Age groups,65+ years,22.4%,(6.4–38.3),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Shasta,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate,,,,,,,,
Sierra,2015–2016,Age groups,65+ years,8.7%,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Siskiyou,2015–2016,Age groups,65+ years,8.7%,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Solano,2015–2016,Age groups,65+ years,18.1%,(2.5–33.7),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Sonoma,2015–2016,Age groups,65+ years,6.4%,(0.3–12.6),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Stanislaus,2015–2016,Age groups,65+ years,20.6%,(5.3–35.9),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Sutter,2015–2016,Age groups,65+ years,13.2%,(3.7–22.8),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Tehama,2015–2016,Age groups,65+ years,,,"Colusa, Glenn, and Tehama counties combined combined for analysis",Prevalence not available due to unreliable estimate,,,,,,,,
Trinity,2015–2016,Age groups,65+ years,8.7%,(2.2–15.3),"Del Norte, Lassen, Modoc, Plumas, Sierra, Siskiyou, and Trinity counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Tulare,2015–2016,Age groups,65+ years,13.8%,(5.5–22.0),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Tuolumne,2015–2016,Age groups,65+ years,13.3%,(1.1–25.6),"Alpine, Amador, Calaveras, Inyo, Mariposa, Mono, and Tuolumne counties combined for analysis",Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Ventura,2015–2016,Age groups,65+ years,9.8%,(3.5–16.1),,Estimate is statistically unstable. Caution is recommended when reporting or relying on statistically unstable estimates.,,,,,,,,
Yolo,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate,,,,,,,,
Yuba,2015–2016,Age groups,65+ years,,,,Prevalence not available due to unreliable estimate,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
