COUNTY,YEAR,STRATA,STRATA NAME,AGE GROUP,NUMBER OF ED VISITS,AGE-ADJUSTED ED VISIT RATE,COMMENT
Fresno,2016.00,Total population,All ages,All ages,6930.00,67.40,
Glenn,2016.00,Total population,All ages,All ages,103.00,36.30,
Humboldt,2016.00,Total population,All ages,All ages,815.00,64.50,
Imperial,2016.00,Total population,All ages,All ages,1287.00,66.30,
Inyo,2016.00,Total population,All ages,All ages,90.00,53.70,
Kern,2016.00,Total population,All ages,All ages,5008.00,54.50,
Kings,2016.00,Total population,All ages,All ages,1027.00,65.00,
Lake,2016.00,Total population,All ages,All ages,487.00,79.40,
Lassen,2016.00,Total population,All ages,All ages,118.00,40.70,
Los Angeles,2016.00,Total population,All ages,All ages,50778.00,51.50,
Madera,2016.00,Total population,All ages,All ages,956.00,60.20,
Marin,2016.00,Total population,All ages,All ages,543.00,23.10,
Mariposa,2016.00,Total population,All ages,All ages,66.00,45.30,
Mendocino,2016.00,Total population,All ages,All ages,451.00,56.40,
Merced,2016.00,Total population,All ages,All ages,2211.00,79.20,
Modoc,2016.00,Total population,All ages,All ages,59.00,80.10,
Mono,2016.00,Total population,All ages,All ages,33.00,28.10,
Monterey,2016.00,Total population,All ages,All ages,1959.00,44.30,
Napa,2016.00,Total population,All ages,All ages,439.00,33.50,
Nevada,2016.00,Total population,All ages,All ages,267.00,33.60,
Orange,2016.00,Total population,All ages,All ages,8878.00,29.20,
Placer,2016.00,Total population,All ages,All ages,968.00,28.30,
Plumas,2016.00,Total population,All ages,All ages,99.00,61.40,
Riverside,2016.00,Total population,All ages,All ages,9596.00,41.50,
Sacramento,2016.00,Total population,All ages,All ages,8953.00,60.70,
San Benito,2016.00,Total population,All ages,All ages,268.00,48.70,
San Bernardino,2016.00,Total population,All ages,All ages,11335.00,51.90,
San Diego,2016.00,Total population,All ages,All ages,10068.00,30.90,
San Francisco,2016.00,Total population,All ages,All ages,2997.00,38.50,
San Joaquin,2016.00,Total population,All ages,All ages,4245.00,57.50,
San Luis Obispo,2016.00,Total population,All ages,All ages,926.00,38.10,
San Mateo,2016.00,Total population,All ages,All ages,2382.00,32.50,
Santa Barbara,2016.00,Total population,All ages,All ages,1641.00,37.70,
Santa Clara,2016.00,Total population,All ages,All ages,5534.00,29.10,
Santa Cruz,2016.00,Total population,All ages,All ages,864.00,34.40,
Shasta,2016.00,Total population,All ages,All ages,726.00,46.40,
Sierra,2016.00,Total population,All ages,All ages,8.00,,Rate not available due to statistical instability
Siskiyou,2016.00,Total population,All ages,All ages,128.00,33.70,
Solano,2016.00,Total population,All ages,All ages,3349.00,80.80,
Sonoma,2016.00,Total population,All ages,All ages,1682.00,36.60,
Stanislaus,2016.00,Total population,All ages,All ages,2763.00,51.30,
Sutter,2016.00,Total population,All ages,All ages,324.00,33.70,
Tehama,2016.00,Total population,All ages,All ages,335.00,55.90,
Trinity,2016.00,Total population,All ages,All ages,55.00,52.70,
Tulare,2016.00,Total population,All ages,All ages,1980.00,40.50,
Tuolumne,2016.00,Total population,All ages,All ages,224.00,46.90,
Ventura,2016.00,Total population,All ages,All ages,2619.00,32.40,
Yolo,2016.00,Total population,All ages,All ages,774.00,38.40,
Yuba,2016.00,Total population,All ages,All ages,297.00,39.20,
California,2016.00,Child vs. adult,0–17 years,0–17 years,69375.00,75.30,
Alameda,2016.00,Child vs. adult,0–17 years,0–17 years,3435.00,98.50,
Alpine,2016.00,Child vs. adult,0–17 years,0–17 years,0.00,0.00,
Amador,2016.00,Child vs. adult,0–17 years,0–17 years,56.00,100.40,
Butte,2016.00,Child vs. adult,0–17 years,0–17 years,226.00,49.90,
Calaveras,2016.00,Child vs. adult,0–17 years,0–17 years,40.00,53.80,
Colusa,2016.00,Child vs. adult,0–17 years,0–17 years,26.00,43.10,
Contra Costa,2016.00,Child vs. adult,0–17 years,0–17 years,2185.00,88.80,
Del Norte,2016.00,Child vs. adult,0–17 years,0–17 years,71.00,120.80,
El Dorado,2016.00,Child vs. adult,0–17 years,0–17 years,155.00,44.50,
Fresno,2016.00,Child vs. adult,0–17 years,0–17 years,4066.00,143.10,
Glenn,2016.00,Child vs. adult,0–17 years,0–17 years,38.00,50.60,
Humboldt,2016.00,Child vs. adult,0–17 years,0–17 years,160.00,57.70,
Imperial,2016.00,Child vs. adult,0–17 years,0–17 years,718.00,133.00,
Inyo,2016.00,Child vs. adult,0–17 years,0–17 years,39.00,96.80,
Kern,2016.00,Child vs. adult,0–17 years,0–17 years,2228.00,86.80,
Kings,2016.00,Child vs. adult,0–17 years,0–17 years,510.00,111.00,
Lake,2016.00,Child vs. adult,0–17 years,0–17 years,108.00,79.60,
Lassen,2016.00,Child vs. adult,0–17 years,0–17 years,32.00,60.70,
Los Angeles,2016.00,Child vs. adult,0–17 years,0–17 years,20462.00,88.50,
Madera,2016.00,Child vs. adult,0–17 years,0–17 years,595.00,140.30,
Marin,2016.00,Child vs. adult,0–17 years,0–17 years,166.00,33.00,
Mariposa,2016.00,Child vs. adult,0–17 years,0–17 years,22.00,77.60,
Mendocino,2016.00,Child vs. adult,0–17 years,0–17 years,128.00,66.70,
Merced,2016.00,Child vs. adult,0–17 years,0–17 years,1039.00,130.90,
Modoc,2016.00,Child vs. adult,0–17 years,0–17 years,19.00,114.20,
Mono,2016.00,Child vs. adult,0–17 years,0–17 years,14.00,49.40,
Monterey,2016.00,Child vs. adult,0–17 years,0–17 years,758.00,65.40,
Napa,2016.00,Child vs. adult,0–17 years,0–17 years,148.00,51.60,
Nevada,2016.00,Child vs. adult,0–17 years,0–17 years,60.00,37.40,
Orange,2016.00,Child vs. adult,0–17 years,0–17 years,3872.00,53.70,
Placer,2016.00,Child vs. adult,0–17 years,0–17 years,288.00,38.40,
Plumas,2016.00,Child vs. adult,0–17 years,0–17 years,22.00,70.40,
Riverside,2016.00,Child vs. adult,0–17 years,0–17 years,3951.00,66.50,
Sacramento,2016.00,Child vs. adult,0–17 years,0–17 years,2825.00,78.20,
San Benito,2016.00,Child vs. adult,0–17 years,0–17 years,120.00,83.20,
San Bernardino,2016.00,Child vs. adult,0–17 years,0–17 years,4679.00,81.20,
San Diego,2016.00,Child vs. adult,0–17 years,0–17 years,4085.00,51.00,
San Francisco,2016.00,Child vs. adult,0–17 years,0–17 years,930.00,67.70,
San Joaquin,2016.00,Child vs. adult,0–17 years,0–17 years,1587.00,80.10,
San Luis Obispo,2016.00,Child vs. adult,0–17 years,0–17 years,268.00,54.30,
San Mateo,2016.00,Child vs. adult,0–17 years,0–17 years,782.00,48.20,
Santa Barbara,2016.00,Child vs. adult,0–17 years,0–17 years,685.00,67.80,
Santa Clara,2016.00,Child vs. adult,0–17 years,0–17 years,1676.00,37.40,
Santa Cruz,2016.00,Child vs. adult,0–17 years,0–17 years,332.00,56.00,
Shasta,2016.00,Child vs. adult,0–17 years,0–17 years,255.00,68.50,
Sierra,2016.00,Child vs. adult,0–17 years,0–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016.00,Child vs. adult,0–17 years,0–17 years,29.00,33.20,
Solano,2016.00,Child vs. adult,0–17 years,0–17 years,1079.00,108.90,
Sonoma,2016.00,Child vs. adult,0–17 years,0–17 years,535.00,55.10,
Stanislaus,2016.00,Child vs. adult,0–17 years,0–17 years,1062.00,73.30,
Sutter,2016.00,Child vs. adult,0–17 years,0–17 years,126.00,50.70,
Tehama,2016.00,Child vs. adult,0–17 years,0–17 years,112.00,72.60,
Trinity,2016.00,Child vs. adult,0–17 years,0–17 years,12.00,56.90,
Tulare,2016.00,Child vs. adult,0–17 years,0–17 years,960.00,66.40,
Tuolumne,2016.00,Child vs. adult,0–17 years,0–17 years,52.00,59.30,
Ventura,2016.00,Child vs. adult,0–17 years,0–17 years,1164.00,58.80,
Yolo,2016.00,Child vs. adult,0–17 years,0–17 years,287.00,59.40,
Yuba,2016.00,Child vs. adult,0–17 years,0–17 years,95.00,43.70,
California,2016.00,Child vs. adult,18+ years,18+ years,105358.00,35.50,
Alameda,2016.00,Child vs. adult,18+ years,18+ years,5651.00,43.70,
Alpine,2016.00,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Amador,2016.00,Child vs. adult,18+ years,18+ years,131.00,48.40,
Butte,2016.00,Child vs. adult,18+ years,18+ years,544.00,34.00,
Calaveras,2016.00,Child vs. adult,18+ years,18+ years,131.00,42.30,
Colusa,2016.00,Child vs. adult,18+ years,18+ years,41.00,25.00,
Contra Costa,2016.00,Child vs. adult,18+ years,18+ years,3836.00,45.70,
Del Norte,2016.00,Child vs. adult,18+ years,18+ years,101.00,53.90,
El Dorado,2016.00,Child vs. adult,18+ years,18+ years,409.00,32.40,
Fresno,2016.00,Child vs. adult,18+ years,18+ years,2864.00,41.10,
Glenn,2016.00,Child vs. adult,18+ years,18+ years,65.00,31.30,
Humboldt,2016.00,Child vs. adult,18+ years,18+ years,655.00,66.80,
Imperial,2016.00,Child vs. adult,18+ years,18+ years,569.00,43.10,
Inyo,2016.00,Child vs. adult,18+ years,18+ years,51.00,38.80,
Kern,2016.00,Child vs. adult,18+ years,18+ years,2780.00,43.30,
Kings,2016.00,Child vs. adult,18+ years,18+ years,517.00,49.00,
Lake,2016.00,Child vs. adult,18+ years,18+ years,379.00,79.40,
Lassen,2016.00,Child vs. adult,18+ years,18+ years,86.00,33.80,
Los Angeles,2016.00,Child vs. adult,18+ years,18+ years,30316.00,38.60,
Madera,2016.00,Child vs. adult,18+ years,18+ years,361.00,32.30,
Marin,2016.00,Child vs. adult,18+ years,18+ years,377.00,19.70,
Mariposa,2016.00,Child vs. adult,18+ years,18+ years,44.00,34.10,
Mendocino,2016.00,Child vs. adult,18+ years,18+ years,323.00,52.80,
Merced,2016.00,Child vs. adult,18+ years,18+ years,1172.00,61.20,
Modoc,2016.00,Child vs. adult,18+ years,18+ years,40.00,68.20,
Mono,2016.00,Child vs. adult,18+ years,18+ years,19.00,20.80,
Monterey,2016.00,Child vs. adult,18+ years,18+ years,1201.00,37.00,
Napa,2016.00,Child vs. adult,18+ years,18+ years,291.00,27.20,
Nevada,2016.00,Child vs. adult,18+ years,18+ years,207.00,32.30,
Orange,2016.00,Child vs. adult,18+ years,18+ years,5006.00,20.70,
Placer,2016.00,Child vs. adult,18+ years,18+ years,680.00,24.80,
Plumas,2016.00,Child vs. adult,18+ years,18+ years,77.00,58.30,
Riverside,2016.00,Child vs. adult,18+ years,18+ years,5645.00,32.70,
Sacramento,2016.00,Child vs. adult,18+ years,18+ years,6128.00,54.70,
San Benito,2016.00,Child vs. adult,18+ years,18+ years,148.00,36.80,
San Bernardino,2016.00,Child vs. adult,18+ years,18+ years,6656.00,41.80,
San Diego,2016.00,Child vs. adult,18+ years,18+ years,5983.00,24.00,
San Francisco,2016.00,Child vs. adult,18+ years,18+ years,2067.00,28.40,
San Joaquin,2016.00,Child vs. adult,18+ years,18+ years,2658.00,49.60,
San Luis Obispo,2016.00,Child vs. adult,18+ years,18+ years,658.00,32.40,
San Mateo,2016.00,Child vs. adult,18+ years,18+ years,1600.00,27.00,
Santa Barbara,2016.00,Child vs. adult,18+ years,18+ years,956.00,27.30,
Santa Clara,2016.00,Child vs. adult,18+ years,18+ years,3858.00,26.10,
Santa Cruz,2016.00,Child vs. adult,18+ years,18+ years,532.00,26.90,
Shasta,2016.00,Child vs. adult,18+ years,18+ years,471.00,38.70,
Sierra,2016.00,Child vs. adult,18+ years,18+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016.00,Child vs. adult,18+ years,18+ years,99.00,33.90,
Solano,2016.00,Child vs. adult,18+ years,18+ years,2270.00,71.00,
Sonoma,2016.00,Child vs. adult,18+ years,18+ years,1147.00,30.20,
Stanislaus,2016.00,Child vs. adult,18+ years,18+ years,1701.00,43.60,
Sutter,2016.00,Child vs. adult,18+ years,18+ years,198.00,27.80,
Tehama,2016.00,Child vs. adult,18+ years,18+ years,223.00,50.20,
Trinity,2016.00,Child vs. adult,18+ years,18+ years,43.00,51.20,
Tulare,2016.00,Child vs. adult,18+ years,18+ years,1020.00,31.60,
Tuolumne,2016.00,Child vs. adult,18+ years,18+ years,172.00,42.60,
Ventura,2016.00,Child vs. adult,18+ years,18+ years,1455.00,23.20,
Yolo,2016.00,Child vs. adult,18+ years,18+ years,487.00,31.10,
Yuba,2016.00,Child vs. adult,18+ years,18+ years,202.00,37.70,
California,2016.00,Age groups,0–4 years,0–4 years,23613.00,94.80,
Alameda,2016.00,Age groups,0–4 years,0–4 years,1329.00,137.40,
Alpine,2016.00,Age groups,0–4 years,0–4 years,0.00,0.00,
Amador,2016.00,Age groups,0–4 years,0–4 years,13.00,94.00,
Butte,2016.00,Age groups,0–4 years,0–4 years,60.00,49.40,
Calaveras,2016.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Colusa,2016.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016.00,Age groups,0–4 years,0–4 years,740.00,118.70,
Del Norte,2016.00,Age groups,0–4 years,0–4 years,19.00,119.90,
El Dorado,2016.00,Age groups,0–4 years,0–4 years,42.00,53.80,
Fresno,2016.00,Age groups,0–4 years,0–4 years,1621.00,206.30,
Glenn,2016.00,Age groups,0–4 years,0–4 years,13.00,66.70,
Humboldt,2016.00,Age groups,0–4 years,0–4 years,57.00,76.20,
Imperial,2016.00,Age groups,0–4 years,0–4 years,177.00,105.60,
Inyo,2016.00,Age groups,0–4 years,0–4 years,20.00,168.40,
Kern,2016.00,Age groups,0–4 years,0–4 years,704.00,100.40,
Kings,2016.00,Age groups,0–4 years,0–4 years,187.00,157.00,
Lake,2016.00,Age groups,0–4 years,0–4 years,37.00,98.50,
Lassen,2016.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2016.00,Age groups,0–4 years,0–4 years,6606.00,103.70,
Madera,2016.00,Age groups,0–4 years,0–4 years,224.00,196.70,
Marin,2016.00,Age groups,0–4 years,0–4 years,55.00,46.60,
Mariposa,2016.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mendocino,2016.00,Age groups,0–4 years,0–4 years,44.00,83.90,
Merced,2016.00,Age groups,0–4 years,0–4 years,330.00,157.80,
Modoc,2016.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2016.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2016.00,Age groups,0–4 years,0–4 years,251.00,78.30,
Napa,2016.00,Age groups,0–4 years,0–4 years,50.00,68.10,
Nevada,2016.00,Age groups,0–4 years,0–4 years,18.00,44.60,
Orange,2016.00,Age groups,0–4 years,0–4 years,1451.00,75.90,
Placer,2016.00,Age groups,0–4 years,0–4 years,98.00,53.10,
Plumas,2016.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Riverside,2016.00,Age groups,0–4 years,0–4 years,1137.00,74.50,
Sacramento,2016.00,Age groups,0–4 years,0–4 years,974.00,99.60,
San Benito,2016.00,Age groups,0–4 years,0–4 years,26.00,71.30,
San Bernardino,2016.00,Age groups,0–4 years,0–4 years,1424.00,93.70,
San Diego,2016.00,Age groups,0–4 years,0–4 years,1677.00,75.00,
San Francisco,2016.00,Age groups,0–4 years,0–4 years,482.00,110.90,
San Joaquin,2016.00,Age groups,0–4 years,0–4 years,504.00,98.80,
San Luis Obispo,2016.00,Age groups,0–4 years,0–4 years,81.00,62.00,
San Mateo,2016.00,Age groups,0–4 years,0–4 years,335.00,77.90,
Santa Barbara,2016.00,Age groups,0–4 years,0–4 years,215.00,74.70,
Santa Clara,2016.00,Age groups,0–4 years,0–4 years,582.00,47.60,
Santa Cruz,2016.00,Age groups,0–4 years,0–4 years,115.00,71.70,
Shasta,2016.00,Age groups,0–4 years,0–4 years,86.00,86.90,
Sierra,2016.00,Age groups,0–4 years,0–4 years,0.00,0.00,
Siskiyou,2016.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Solano,2016.00,Age groups,0–4 years,0–4 years,321.00,123.10,
Sonoma,2016.00,Age groups,0–4 years,0–4 years,173.00,68.80,
Stanislaus,2016.00,Age groups,0–4 years,0–4 years,306.00,79.90,
Sutter,2016.00,Age groups,0–4 years,0–4 years,44.00,68.00,
Tehama,2016.00,Age groups,0–4 years,0–4 years,30.00,69.10,
Trinity,2016.00,Age groups,0–4 years,0–4 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016.00,Age groups,0–4 years,0–4 years,354.00,92.70,
Tuolumne,2016.00,Age groups,0–4 years,0–4 years,16.00,69.90,
Ventura,2016.00,Age groups,0–4 years,0–4 years,397.00,76.60,
Yolo,2016.00,Age groups,0–4 years,0–4 years,99.00,78.90,
Yuba,2016.00,Age groups,0–4 years,0–4 years,37.00,62.00,
California,2016.00,Age groups,5–17 years,5–17 years,45762.00,68.10,
Alameda,2016.00,Age groups,5–17 years,5–17 years,2106.00,84.20,
Alpine,2016.00,Age groups,5–17 years,5–17 years,0.00,0.00,
Amador,2016.00,Age groups,5–17 years,5–17 years,43.00,102.80,
Butte,2016.00,Age groups,5–17 years,5–17 years,166.00,50.10,
Calaveras,2016.00,Age groups,5–17 years,5–17 years,35.00,63.00,
Colusa,2016.00,Age groups,5–17 years,5–17 years,19.00,41.60,
Contra Costa,2016.00,Age groups,5–17 years,5–17 years,1445.00,77.80,
Del Norte,2016.00,Age groups,5–17 years,5–17 years,52.00,121.10,
El Dorado,2016.00,Age groups,5–17 years,5–17 years,113.00,41.10,
Fresno,2016.00,Age groups,5–17 years,5–17 years,2445.00,120.00,
Glenn,2016.00,Age groups,5–17 years,5–17 years,25.00,44.60,
Humboldt,2016.00,Age groups,5–17 years,5–17 years,103.00,51.00,
Imperial,2016.00,Age groups,5–17 years,5–17 years,541.00,143.00,
Inyo,2016.00,Age groups,5–17 years,5–17 years,19.00,70.60,
Kern,2016.00,Age groups,5–17 years,5–17 years,1524.00,81.90,
Kings,2016.00,Age groups,5–17 years,5–17 years,323.00,94.20,
Lake,2016.00,Age groups,5–17 years,5–17 years,71.00,72.70,
Lassen,2016.00,Age groups,5–17 years,5–17 years,26.00,68.30,
Los Angeles,2016.00,Age groups,5–17 years,5–17 years,13856.00,83.00,
Madera,2016.00,Age groups,5–17 years,5–17 years,371.00,119.70,
Marin,2016.00,Age groups,5–17 years,5–17 years,111.00,28.00,
Mariposa,2016.00,Age groups,5–17 years,5–17 years,16.00,77.70,
Mendocino,2016.00,Age groups,5–17 years,5–17 years,84.00,60.40,
Merced,2016.00,Age groups,5–17 years,5–17 years,709.00,121.00,
Modoc,2016.00,Age groups,5–17 years,5–17 years,11.00,,Rate not available due to statistical instability
Mono,2016.00,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Monterey,2016.00,Age groups,5–17 years,5–17 years,507.00,60.60,
Napa,2016.00,Age groups,5–17 years,5–17 years,98.00,45.50,
Nevada,2016.00,Age groups,5–17 years,5–17 years,42.00,34.80,
Orange,2016.00,Age groups,5–17 years,5–17 years,2421.00,45.60,
Placer,2016.00,Age groups,5–17 years,5–17 years,190.00,33.00,
Plumas,2016.00,Age groups,5–17 years,5–17 years,18.00,77.00,
Riverside,2016.00,Age groups,5–17 years,5–17 years,2814.00,63.60,
Sacramento,2016.00,Age groups,5–17 years,5–17 years,1851.00,70.30,
San Benito,2016.00,Age groups,5–17 years,5–17 years,94.00,87.50,
San Bernardino,2016.00,Age groups,5–17 years,5–17 years,3255.00,76.60,
San Diego,2016.00,Age groups,5–17 years,5–17 years,2408.00,42.20,
San Francisco,2016.00,Age groups,5–17 years,5–17 years,448.00,51.90,
San Joaquin,2016.00,Age groups,5–17 years,5–17 years,1083.00,73.30,
San Luis Obispo,2016.00,Age groups,5–17 years,5–17 years,187.00,51.40,
San Mateo,2016.00,Age groups,5–17 years,5–17 years,447.00,37.40,
Santa Barbara,2016.00,Age groups,5–17 years,5–17 years,470.00,65.30,
Santa Clara,2016.00,Age groups,5–17 years,5–17 years,1094.00,33.70,
Santa Cruz,2016.00,Age groups,5–17 years,5–17 years,217.00,50.20,
Shasta,2016.00,Age groups,5–17 years,5–17 years,169.00,61.80,
Sierra,2016.00,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016.00,Age groups,5–17 years,5–17 years,20.00,31.20,
Solano,2016.00,Age groups,5–17 years,5–17 years,758.00,103.70,
Sonoma,2016.00,Age groups,5–17 years,5–17 years,362.00,50.00,
Stanislaus,2016.00,Age groups,5–17 years,5–17 years,756.00,70.90,
Sutter,2016.00,Age groups,5–17 years,5–17 years,82.00,44.30,
Tehama,2016.00,Age groups,5–17 years,5–17 years,82.00,73.90,
Trinity,2016.00,Age groups,5–17 years,5–17 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Tulare,2016.00,Age groups,5–17 years,5–17 years,606.00,56.70,
Tuolumne,2016.00,Age groups,5–17 years,5–17 years,36.00,55.40,
Ventura,2016.00,Age groups,5–17 years,5–17 years,767.00,52.30,
Yolo,2016.00,Age groups,5–17 years,5–17 years,188.00,52.30,
Yuba,2016.00,Age groups,5–17 years,5–17 years,58.00,36.90,
California,2016.00,Age groups,18–64 years,18–64 years,93650.00,38.40,
Alameda,2016.00,Age groups,18–64 years,18–64 years,4887.00,45.60,
Alpine,2016.00,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Amador,2016.00,Age groups,18–64 years,18–64 years,113.00,54.30,
Butte,2016.00,Age groups,18–64 years,18–64 years,496.00,38.70,
Calaveras,2016.00,Age groups,18–64 years,18–64 years,111.00,47.90,
Colusa,2016.00,Age groups,18–64 years,18–64 years,36.00,27.50,
Contra Costa,2016.00,Age groups,18–64 years,18–64 years,3390.00,49.80,
Del Norte,2016.00,Age groups,18–64 years,18–64 years,94.00,62.00,
El Dorado,2016.00,Age groups,18–64 years,18–64 years,367.00,36.70,
Fresno,2016.00,Age groups,18–64 years,18–64 years,2544.00,43.70,
Glenn,2016.00,Age groups,18–64 years,18–64 years,55.00,33.10,
Humboldt,2016.00,Age groups,18–64 years,18–64 years,615.00,77.20,
Imperial,2016.00,Age groups,18–64 years,18–64 years,485.00,44.10,
Inyo,2016.00,Age groups,18–64 years,18–64 years,45.00,43.70,
Kern,2016.00,Age groups,18–64 years,18–64 years,2575.00,47.80,
Kings,2016.00,Age groups,18–64 years,18–64 years,474.00,53.20,
Lake,2016.00,Age groups,18–64 years,18–64 years,333.00,89.10,
Lassen,2016.00,Age groups,18–64 years,18–64 years,78.00,37.00,
Los Angeles,2016.00,Age groups,18–64 years,18–64 years,27003.00,41.50,
Madera,2016.00,Age groups,18–64 years,18–64 years,312.00,34.30,
Marin,2016.00,Age groups,18–64 years,18–64 years,310.00,21.10,
Mariposa,2016.00,Age groups,18–64 years,18–64 years,30.00,34.90,
Mendocino,2016.00,Age groups,18–64 years,18–64 years,288.00,59.90,
Merced,2016.00,Age groups,18–64 years,18–64 years,1085.00,67.80,
Modoc,2016.00,Age groups,18–64 years,18–64 years,38.00,80.60,
Mono,2016.00,Age groups,18–64 years,18–64 years,19.00,25.00,
Monterey,2016.00,Age groups,18–64 years,18–64 years,1081.00,40.30,
Napa,2016.00,Age groups,18–64 years,18–64 years,223.00,27.10,
Nevada,2016.00,Age groups,18–64 years,18–64 years,181.00,36.80,
Orange,2016.00,Age groups,18–64 years,18–64 years,4304.00,21.70,
Placer,2016.00,Age groups,18–64 years,18–64 years,575.00,26.90,
Plumas,2016.00,Age groups,18–64 years,18–64 years,62.00,64.80,
Riverside,2016.00,Age groups,18–64 years,18–64 years,5082.00,36.00,
Sacramento,2016.00,Age groups,18–64 years,18–64 years,5637.00,60.80,
San Benito,2016.00,Age groups,18–64 years,18–64 years,126.00,38.10,
San Bernardino,2016.00,Age groups,18–64 years,18–64 years,6109.00,45.70,
San Diego,2016.00,Age groups,18–64 years,18–64 years,5286.00,25.70,
San Francisco,2016.00,Age groups,18–64 years,18–64 years,1771.00,29.90,
San Joaquin,2016.00,Age groups,18–64 years,18–64 years,2446.00,55.20,
San Luis Obispo,2016.00,Age groups,18–64 years,18–64 years,559.00,35.50,
San Mateo,2016.00,Age groups,18–64 years,18–64 years,1291.00,27.50,
Santa Barbara,2016.00,Age groups,18–64 years,18–64 years,803.00,28.10,
Santa Clara,2016.00,Age groups,18–64 years,18–64 years,3356.00,27.60,
Santa Cruz,2016.00,Age groups,18–64 years,18–64 years,467.00,28.80,
Shasta,2016.00,Age groups,18–64 years,18–64 years,435.00,44.60,
Sierra,2016.00,Age groups,18–64 years,18–64 years,,,Count and rate suppressed in accordance with data de-identification guidelines
Siskiyou,2016.00,Age groups,18–64 years,18–64 years,85.00,38.20,
Solano,2016.00,Age groups,18–64 years,18–64 years,2032.00,78.00,
Sonoma,2016.00,Age groups,18–64 years,18–64 years,986.00,32.70,
Stanislaus,2016.00,Age groups,18–64 years,18–64 years,1546.00,47.90,
Sutter,2016.00,Age groups,18–64 years,18–64 years,177.00,30.40,
Tehama,2016.00,Age groups,18–64 years,18–64 years,200.00,56.60,
Trinity,2016.00,Age groups,18–64 years,18–64 years,40.00,60.10,
Tulare,2016.00,Age groups,18–64 years,18–64 years,925.00,34.30,
Tuolumne,2016.00,Age groups,18–64 years,18–64 years,139.00,46.60,
Ventura,2016.00,Age groups,18–64 years,18–64 years,1277.00,24.90,
Yolo,2016.00,Age groups,18–64 years,18–64 years,435.00,33.30,
Yuba,2016.00,Age groups,18–64 years,18–64 years,179.00,39.80,
California,2016.00,Age groups,65+ years,65+ years,11708.00,21.40,
Alameda,2016.00,Age groups,65+ years,65+ years,764.00,34.30,
Alpine,2016.00,Age groups,65+ years,65+ years,0.00,0.00,
Amador,2016.00,Age groups,65+ years,65+ years,18.00,19.60,
Butte,2016.00,Age groups,65+ years,65+ years,48.00,11.20,
Calaveras,2016.00,Age groups,65+ years,65+ years,20.00,15.20,
Colusa,2016.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Contra Costa,2016.00,Age groups,65+ years,65+ years,446.00,25.50,
Del Norte,2016.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
El Dorado,2016.00,Age groups,65+ years,65+ years,42.00,11.50,
Fresno,2016.00,Age groups,65+ years,65+ years,320.00,28.40,
Glenn,2016.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Humboldt,2016.00,Age groups,65+ years,65+ years,40.00,16.40,
Imperial,2016.00,Age groups,65+ years,65+ years,84.00,38.30,
Inyo,2016.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Kern,2016.00,Age groups,65+ years,65+ years,205.00,21.20,
Kings,2016.00,Age groups,65+ years,65+ years,43.00,28.70,
Lake,2016.00,Age groups,65+ years,65+ years,46.00,32.20,
Lassen,2016.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Los Angeles,2016.00,Age groups,65+ years,65+ years,3313.00,24.40,
Madera,2016.00,Age groups,65+ years,65+ years,49.00,22.70,
Marin,2016.00,Age groups,65+ years,65+ years,67.00,12.60,
Mariposa,2016.00,Age groups,65+ years,65+ years,14.00,29.80,
Mendocino,2016.00,Age groups,65+ years,65+ years,35.00,18.50,
Merced,2016.00,Age groups,65+ years,65+ years,87.00,29.10,
Modoc,2016.00,Age groups,65+ years,65+ years,,,Count and rate suppressed in accordance with data de-identification guidelines
Mono,2016.00,Age groups,65+ years,65+ years,0.00,0.00,
